,reference,energy_type,description,description_tokens
58,15680,Specialized Shape,"Boilermaker was positioning heel block to prepare for welding on bucket of excavator 55.
injured_person's LH (little finger) became wedged between wear strip and heel block resulting in a laceration to pad of finger, approx. 1.5cm.

PPE was worn at all times throughout the task. ","['boilermaker', 'was', 'positioning', 'heel', 'block', 'to', 'prepare', 'for', 'welding', 'on', 'bucket', 'of', 'excavator', '<num>', 'injured', 'person', 's', 'lh', 'little', 'finger', 'became', 'wedged', 'between', 'wear', 'strip', 'and', 'heel', 'block', 'resulting', 'in', 'a', 'laceration', 'to', 'pad', 'of', 'finger', 'approx', '1.5cm', 'ppe', 'was', 'worn', 'at', 'all', 'times', 'throughout', 'the', 'task']"
78,35439,Specialized Shape,"-	injured_person was using cling wrap roll to cover food in a tray. 
-	injured_person pulled the cling wrap forward over the tray, covering the contents, as injured_person went to cut off the cling wrap from the roll scraped her left index finger on the serrated edge, resulting in a minor cut to left index finger.
","['injured', 'person', 'was', 'using', 'cling', 'wrap', 'roll', 'to', 'cover', 'food', 'in', 'a', 'tray', 'injured', 'person', 'pulled', 'the', 'cling', 'wrap', 'forward', 'over', 'the', 'tray', 'covering', 'the', 'contents', 'as', 'injured', 'person', 'went', 'to', 'cut', 'off', 'the', 'cling', 'wrap', 'from', 'the', 'roll', 'scraped', 'her', 'left', 'index', 'finger', 'on', 'the', 'serrated', 'edge', 'resulting', 'in', 'a', 'minor', 'cut', 'to', 'left', 'index', 'finger']"
99,47741,Specialized Shape,"At approximately 4:40PM, the injured_person was undertaking a task in an EWP which involved cutting a piece of conduit with a battery powered bandsaw. During the process of cutting the conduit, the recoil from the saw blade contacting the conduit has caused the bandsaw to bounce onto the dorsal aspect of the injured_person's left hand sustaining a laceration to the back of the hand.","['at', 'approximately', '<time>', 'the', 'injured', 'person', 'was', 'undertaking', 'a', 'task', 'in', 'an', 'ewp', 'which', 'involved', 'cutting', 'a', 'piece', 'of', 'conduit', 'with', 'a', 'battery', 'powered', 'bandsaw', 'during', 'the', 'process', 'of', 'cutting', 'the', 'conduit', 'the', 'recoil', 'from', 'the', 'saw', 'blade', 'contacting', 'the', 'conduit', 'has', 'caused', 'the', 'bandsaw', 'to', 'bounce', 'onto', 'the', 'dorsal', 'aspect', 'of', 'the', 'injured', 'person', 's', 'left', 'hand', 'sustaining', 'a', 'laceration', 'to', 'the', 'back', 'of', 'the', 'hand']"
101,6912,Specialized Shape,"While loading preparing to load holes on the CEN_180_264, the shot firer was clearing a hole that had been covered by a dislodged rock from the previous days blast.  While moving the rock the shot firer’s left arm has slipped from the top of the rock causing a cut to his left forearm.","['while', 'loading', 'preparing', 'to', 'load', 'holes', 'on', 'the', 'cen', '<num>', '<num>', 'the', 'shot', 'firer', 'was', 'clearing', 'a', 'hole', 'that', 'had', 'been', 'covered', 'by', 'a', 'dislodged', 'rock', 'from', 'the', 'previous', 'days', 'blast', 'while', 'moving', 'the', 'rock', 'the', 'shot', 'firer', 's', 'left', 'arm', 'has', 'slipped', 'from', 'the', 'top', 'of', 'the', 'rock', 'causing', 'a', 'cut', 'to', 'his', 'left', 'forearm']"
103,11399,Specialized Shape,"injured_person was tasked with carrying out various repairs to an excavator bucket,  using oxy-acetalene, grinding and welding equipment. The injured_person reported unusually strong winds, and that at the time they were wearing double eye protection, safety glasses and welding helmet.
The following morning, the injured_person awoke and felt discomfort in their right eye. On assessment at the medical centre, it was identified a foreign object was in the injured_person’s eye. 
","['injured', 'person', 'was', 'tasked', 'with', 'carrying', 'out', 'various', 'repairs', 'to', 'an', 'excavator', 'bucket', 'using', 'oxy-acetalene', 'grinding', 'and', 'welding', 'equipment', 'the', 'injured', 'person', 'reported', 'unusually', 'strong', 'winds', 'and', 'that', 'at', 'the', 'time', 'they', 'were', 'wearing', 'double', 'eye', 'protection', 'safety', 'glasses', 'and', 'welding', 'helmet', 'the', 'following', 'morning', 'the', 'injured', 'person', 'awoke', 'and', 'felt', 'discomfort', 'in', 'their', 'right', 'eye', 'on', 'assessment', 'at', 'the', 'medical', 'centre', 'it', 'was', 'identified', 'a', 'foreign', 'object', 'was', 'in', 'the', 'injured', 'person', 's', 'eye']"
146,27143,Specialized Shape,"•	While installing an overhead beam, dislodged dust off existing beam, fell into eyes. Standard clears PPE glasses worn at the time; dust particles fell through open areas into eye.
•	Spent 20 minutes flushing eye with portable station.
•	Presented to clinic for review, reports itchy upper & lower orbits.
•	Nil visual acuity issues, nil blurred vision, conjunctiva not reddened or inflamed, eyes not watering, nil overt evidence of FB contamination comparable to L eye
","['while', 'installing', 'an', 'overhead', 'beam', 'dislodged', 'dust', 'off', 'existing', 'beam', 'fell', 'into', 'eyes', 'standard', 'clears', 'ppe', 'glasses', 'worn', 'at', 'the', 'time', 'dust', 'particles', 'fell', 'through', 'open', 'areas', 'into', 'eye', 'spent', '<num>', 'minutes', 'flushing', 'eye', 'with', 'portable', 'station', 'presented', 'to', 'clinic', 'for', 'review', 'reports', 'itchy', 'upper', 'lower', 'orbits', 'nil', 'visual', 'acuity', 'issues', 'nil', 'blurred', 'vision', 'conjunctiva', 'not', 'reddened', 'or', 'inflamed', 'eyes', 'not', 'watering', 'nil', 'overt', 'evidence', 'of', 'fb', 'contamination', 'comparable', 'to', 'l', 'eye']"
162,39610,Specialized Shape,injured_person exposed to foriegn body in eye whilst performing boilermaking duties,"['injured', 'person', 'exposed', 'to', 'foriegn', 'body', 'in', 'eye', 'whilst', 'performing', 'boilermaking', 'duties']"
178,31971,Specialized Shape,"NLO MAINT- FAI-Metal swarf in eye, hard hard brushed freshly cut steel and swarf fell behind glasses into injured_person left eye.","['nlo', 'maint', 'fai-metal', 'swarf', 'in', 'eye', 'hard', 'hard', 'brushed', 'freshly', 'cut', 'steel', 'and', 'swarf', 'fell', 'behind', 'glasses', 'into', 'injured', 'person', 'left', 'eye']"
184,38784,Specialized Shape,"The injured_person was sitting on a safety step welding a Digger Bucket in Stage 3 Shut Pad.
The conditions were windy, and the injured_person believes the wind carries some welding sparks onto the lower right leg area of his jeans, the sparks have then caused his jeans to smoulder. After a few minutes the injured_person felt the heat and stopped welding, he then seen some smoke and patted down his lower right leg with his welding gloves and noticed the burn on his leg.
","['the', 'injured', 'person', 'was', 'sitting', 'on', 'a', 'safety', 'step', 'welding', 'a', 'digger', 'bucket', 'in', 'stage', '<num>', 'shut', 'pad', 'the', 'conditions', 'were', 'windy', 'and', 'the', 'injured', 'person', 'believes', 'the', 'wind', 'carries', 'some', 'welding', 'sparks', 'onto', 'the', 'lower', 'right', 'leg', 'area', 'of', 'his', 'jeans', 'the', 'sparks', 'have', 'then', 'caused', 'his', 'jeans', 'to', 'smoulder', 'after', 'a', 'few', 'minutes', 'the', 'injured', 'person', 'felt', 'the', 'heat', 'and', 'stopped', 'welding', 'he', 'then', 'seen', 'some', 'smoke', 'and', 'patted', 'down', 'his', 'lower', 'right', 'leg', 'with', 'his', 'welding', 'gloves', 'and', 'noticed', 'the', 'burn', 'on', 'his', 'leg']"
13,11190,Susceptible Part,"At approx 03:45, Utility started to use the Meat slicer, slicing meat for Crib Service.
Approx, another utility entered the kitchen. They greeted each other- they are partners.
Shortly after, the utiity went back to slicing meat. The Utility was not wearing gloves and still had the distraction of being greeted by his partner, fellow utility.
The utility then went to slice some meat and caught the side of his right index finger on the blade. 
Utility immediately reported to Head Chef, who reported to VM.
Utility was seen by medic at approx 04:15am.","['at', 'approx', '<time>', 'utility', 'started', 'to', 'use', 'the', 'meat', 'slicer', 'slicing', 'meat', 'for', 'crib', 'service', 'approx', 'another', 'utility', 'entered', 'the', 'kitchen', 'they', 'greeted', 'each', 'other', 'they', 'are', 'partners', 'shortly', 'after', 'the', 'utiity', 'went', 'back', 'to', 'slicing', 'meat', 'the', 'utility', 'was', 'not', 'wearing', 'gloves', 'and', 'still', 'had', 'the', 'distraction', 'of', 'being', 'greeted', 'by', 'his', 'partner', 'fellow', 'utility', 'the', 'utility', 'then', 'went', 'to', 'slice', 'some', 'meat', 'and', 'caught', 'the', 'side', 'of', 'his', 'right', 'index', 'finger', 'on', 'the', 'blade', 'utility', 'immediately', 'reported', 'to', 'head', 'chef', 'who', 'reported', 'to', 'vm', 'utility', 'was', 'seen', 'by', 'medic', 'at', 'approx', '<time>']"
